stt,tinh,quan_huyen,xa_phuong,duong_pho,kc_duong_chinh,min_dorong_ngo,dien_tich,mat_tien,so_mattien,thoi_diem_hieu_luc,district,ward,REF_TINH_CODE,REF_HUYEN_CODE,REF_XA_CODE,don_gia1
18873,Thành phố Hà Nội,Quận Hai Bà Trưng,Phường Bùi Thị Xuân,Triệu Việt Vương,0,10,109,4.8,1,2021-09-29 00:00:00,hai bà trưng,hai bà trưng_bùi thị xuân,148873,149556,195323,0.528440367
18875,Thành phố Hà Nội,Huyện Thạch Thất,Xã Đồng Trúc,Đường liên thôn,0,7.4,100,5,1,2021-09-27 00:00:00,thạch thất,thạch thất_đồng trúc,148873,152286,152371,0.022
18876,Thành phố Hà Nội,Huyện Thạch Thất,Xã Đồng Trúc,Đường liên thôn,0,7.4,90,5,1,2021-09-27 00:00:00,thạch thất,thạch thất_đồng trúc,148873,152286,152371,0.021111111
18877,Thành phố Hà Nội,Huyện Thạch Thất,Xã Đồng Trúc,Đường liên thôn,0,7.4,85,4,1,2021-09-27 00:00:00,thạch thất,thạch thất_đồng trúc,148873,152286,152371,0.023529412
18878,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Liên Hiệp,Đường liên thôn,0,3.8,100,5,1,2021-09-27 00:00:00,phúc thọ,phúc thọ_liên hiệp,148873,151998,152042,0.02
18879,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Liên Hiệp,Đường liên thôn,0,3.8,100,5,1,2021-09-27 00:00:00,phúc thọ,phúc thọ_liên hiệp,148873,151998,152042,0.02
18880,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Liên Hiệp,Đường liên thôn,0,3.8,100,5,1,2021-09-27 00:00:00,phúc thọ,phúc thọ_liên hiệp,148873,151998,152042,0.02
18881,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Liên Hiệp,Đường liên thôn,0,3.8,132,6,2,2021-09-27 00:00:00,phúc thọ,phúc thọ_liên hiệp,148873,151998,152042,0.015
18883,Thành phố Hà Nội,Quận Ba Đình,Phường Vĩnh Phúc,Hoàng Hoa Thám,0,10,80,5,2,2021-09-30 00:00:00,ba đình,ba đình_vĩnh phúc,148873,148874,195240,0.159625
18884,Thành phố Hà Nội,Quận Ba Đình,Phường Vĩnh Phúc,Hoàng Hoa Thám,0,10,90,4.5,1,2021-09-30 00:00:00,ba đình,ba đình_vĩnh phúc,148873,148874,195240,0.137222222
18921,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Đường trục làng nghề Tam Hiệp: Từ giáp Quốc lộ 32 đến giáp đình Thượng Hiệp,10,3.3,100,4,1,2021-09-28 00:00:00,phúc thọ,phúc thọ_tam hiệp,148873,151998,152056,0.0145
