stt,tinh,quan_huyen,xa_phuong,duong_pho,kc_duong_chinh,min_dorong_ngo,dien_tich,mat_tien,so_mattien,thoi_diem_hieu_luc,district,ward,REF_TINH_CODE,REF_HUYEN_CODE,REF_XA_CODE,don_gia1
1,Thành phố Hà Nội,Huyện Thạch Thất,Xã Chàng Sơn,Đường liên thôn,0,3.2,79,6.9,2,2021-06-22 00:00:00,thạch thất,thạch thất_chàng sơn,148873,152286,152355,0.0365
2,Thành phố Hà Nội,Huyện Thạch Thất,Xã Thạch Xá,Đường liên thôn,0,6,108,5.2,1,2021-06-14 00:00:00,thạch thất,thạch thất_thạch xá,148873,152286,152357,0.05
3,Thành phố Hà Nội,Huyện Thanh Oai,Xã Bích Hòa,Đường 21B,300,2.5,106,4,1,2021-06-25 00:00:00,thanh oai,thanh oai_bích hòa,148873,152384,195441,0.022078
4,Thành phố Hà Nội,Huyện Thanh Trì,Xã Tam Hiệp,"Đường Phan Trọng Tuệ (đoạn qua xã Tam Hiệp, Thanh Liệt, Tả Thanh Oai)",800,3.5,40.1,5.36,1,2021-06-23 00:00:00,thanh trì,thanh trì_tam hiệp,148873,152474,195383,0.0499
5,Thành phố Hà Nội,Huyện Thường Tín,Xã Vạn Điểm,Cao tốc Pháp Vân,350,2.8,179.5,11.2,1,2021-06-20 00:00:00,thường tín,thường tín_vạn điểm,148873,152587,152661,0.010523
6,Thành phố Hà Nội,Huyện Thường Tín,Xã Vạn Điểm,Cao tốc Pháp Vân,1000,3,538,15.9,1,2021-06-17 00:00:00,thường tín,thường tín_vạn điểm,148873,152587,152661,0.006166
7,Thành phố Hà Nội,Huyện Thường Tín,Xã Vạn Điểm,Cao tốc Pháp Vân,500,2,273,11.49,1,2021-06-02 00:00:00,thường tín,thường tín_vạn điểm,148873,152587,152661,0.006557
11,Thành phố Hà Nội,Huyện Ứng Hòa,Xã Đồng Tân,Đường 428A,750,5,664.6,25,3,2021-06-01 00:00:00,ứng hòa,ứng hòa_đồng tân,148873,152697,152746,0.003354
15,Thành phố Hà Nội,Huyện Thạch Thất,Xã Thạch Xá,Đường liên thôn,0,2.3,71,4.35,1,2021-06-08 00:00:00,thạch thất,thạch thất_thạch xá,148873,152286,152357,0.02
16,Thành phố Hà Nội,Huyện Thạch Thất,Xã Thạch Xá,Đường liên xã,60,5.5,110.1,8.6,2,2021-06-15 00:00:00,thạch thất,thạch thất_thạch xá,148873,152286,152357,0.025
17,Thành phố Hà Nội,Huyện Thạch Thất,Xã Thạch Xá,Đường liên xã,50,4.5,91,6.5,1,2021-06-17 00:00:00,thạch thất,thạch thất_thạch xá,148873,152286,152357,0.0232
18,Thành phố Hà Nội,Huyện Thạch Thất,Xã Thạch Xá,Đường liên xã,0,6,122.5,6.05,2,2021-06-08 00:00:00,thạch thất,thạch thất_thạch xá,148873,152286,152357,0.046
28,Thành phố Hà Nội,Huyện Quốc Oai,Xã Ngọc Liệp,Đại Lộ Thăng Long,1100,3,98.9,20.08,2,2021-06-25 00:00:00,quốc oai,quốc oai_ngọc liệp,148873,152080,152149,0.018063
31,Thành phố Hà Nội,Huyện Thanh Oai,Xã Tam Hưng,Tỉnh lộ 427B,0,7,84.8,5,2,2021-06-21 00:00:00,thanh oai,thanh oai_tam hưng,148873,152384,152452,0.04464
32,Thành phố Hà Nội,Huyện Thanh Oai,Xã Tam Hưng,Đường trục xã Tam Hưng: Đoạn giáp tỉnh lộ 427 đến trụ sở UBND xã Tam Hưng.,200,1.66,113,6.58,1,2021-06-01 00:00:00,thanh oai,thanh oai_tam hưng,148873,152384,152452,0.006881
33,Thành phố Hà Nội,Huyện Thanh Trì,Xã Liên Ninh,Quốc lộ 1A đoạn từ cầu Ngọc Hồi đến hết địa phận huyện Thanh Trì - Phía đối diện đường tầu,300,1.5,39.7,5.7,1,2021-06-24 00:00:00,thanh trì,thanh trì_liên ninh,148873,152474,152563,0.023
34,Thành phố Hà Nội,Huyện Thanh Trì,Xã Đại Áng,Đường Vĩnh Quỳnh - Đại Áng Từ hết địa phận xã Vĩnh Quỳnh đến hết địa phận xã Đại Áng,130,2,124.5,9.6,2,2021-06-02 00:00:00,thanh trì,thanh trì_đại áng,148873,152474,152565,0.017731
36,Thành phố Hà Nội,Huyện Thanh Trì,Xã Tứ Hiệp,Vũ Lãng,570,1.8,40,5,1,2021-06-16 00:00:00,thanh trì,thanh trì_tứ hiệp,148873,152474,195384,0.038
38,Thành phố Hà Nội,Huyện Thường Tín,Xã Thư Phú,Đường 427a,850,4,397.7,15.48,2,2021-06-10 00:00:00,thường tín,thường tín_thư phú,148873,152587,152665,0.0066
39,Thành phố Hà Nội,Huyện Ứng Hòa,Xã Hồng Quang,DT74,580,4,305.9,9.06,2,2021-06-21 00:00:00,ứng hòa,ứng hòa_hồng quang,148873,152697,152770,0.00349
40,Thành phố Hà Nội,Huyện Ứng Hòa,Xã Minh Đức,Đường 428A,0,7,144.7,6.71,1,2021-06-03 00:00:00,ứng hòa,ứng hòa_minh đức,148873,152697,152774,0.017903
41,Thành phố Hà Nội,Huyện Ứng Hòa,Xã Minh Đức,Đường 428A,0,7,168.5,6,1,2021-06-24 00:00:00,ứng hòa,ứng hòa_minh đức,148873,152697,152774,0.019211
46,Thành phố Hà Nội,Huyện Quốc Oai,Xã Cấn Hữu,Tỉnh lộ 421B,450,3.7,293,21.24,1,2021-06-01 00:00:00,quốc oai,quốc oai_cấn hữu,148873,152080,152151,0.008803
47,Thành phố Hà Nội,Huyện Quốc Oai,Xã Cấn Hữu,Tỉnh lộ 421B,290,2.5,175,12.61,2,2021-05-31 00:00:00,quốc oai,quốc oai_cấn hữu,148873,152080,152151,0.0075
48,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phú Kim,Đường tỉnh 420,0,7,100,5,2,2021-06-11 00:00:00,thạch thất,thạch thất_phú kim,148873,152286,152341,0.037
49,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Đường liên thôn,138,1.8,251,2.07,1,2021-05-31 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.006
50,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Cổng Kết,0,5.5,74,4.7,1,2021-06-17 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.02
51,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Cổng Kết,0,5.5,73,5.12,2,2021-06-17 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.0223
52,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Đường liên thôn,80,1.9,170,10.3,1,2021-06-23 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.008
62,Thành phố Hà Nội,Huyện Thường Tín,Xã Thư Phú,Đất ở khu dân cư nông thôn (Xã Thư Phú),950,5.5,136,5,1,2021-06-20 00:00:00,thường tín,thường tín_thư phú,148873,152587,152665,0.0115
63,Thành phố Hà Nội,Huyện Thường Tín,Xã Thư Phú,DT427,500,4,107.3,9.01,2,2021-06-14 00:00:00,thường tín,thường tín_thư phú,148873,152587,152665,0.019059
64,Thành phố Hà Nội,Huyện Thường Tín,Xã Thư Phú,DT427,700,2.9,354.7,14.9,1,2021-06-14 00:00:00,thường tín,thường tín_thư phú,148873,152587,152665,0.008651
70,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Thọ Lộc,Đường liên thôn,0,3.7,160,8.92,2,2021-06-21 00:00:00,phúc thọ,phúc thọ_thọ lộc,148873,151998,152062,0.013
71,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Thọ Lộc,Đường quốc lộ 32,0,20,32.5,4.5,1,2021-06-21 00:00:00,phúc thọ,phúc thọ_thọ lộc,148873,151998,152062,0.035
72,Thành phố Hà Nội,Huyện Quốc Oai,Xã Đông Yên,Tỉnh lộ 421B,0,15,117.2,6,1,2021-05-31 00:00:00,quốc oai,quốc oai_đông yên,148873,152080,195435,0.021391
73,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Đường liên thôn,0,4.5,117,13.09,2,2021-06-25 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.031
74,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Đường liên thôn,20,1.9,160,14.16,1,2021-06-18 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.008
75,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Đường liên thôn,0,4.5,369,20.46,2,2021-06-18 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.028
76,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Đường Cổng Nùi,0,7,100,5,1,2021-05-31 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.0483
77,Thành phố Hà Nội,Huyện Thanh Oai,Xã Thanh Thùy,Đường 427: Đoạn giáp Quốc lộ 21B đến hết địa phận xã Thanh Thùy.,850,3.15,130,11.1,1,2021-06-15 00:00:00,thanh oai,thanh oai_thanh thùy,148873,152384,152454,0.017505
81,Thành phố Hà Nội,Huyện Thường Tín,Xã Văn Tự,Quốc lộ 1A,80,1.8,169,8.2,1,2021-06-01 00:00:00,thường tín,thường tín_văn tự,148873,152587,152673,0.00693
84,Thành phố Hà Nội,Huyện Quốc Oai,Xã Đông Yên,Tỉnh lộ 421B,0,8,150.5,8.4,1,2021-06-09 00:00:00,quốc oai,quốc oai_đông yên,148873,152080,195435,0.015343
85,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Hiền Ninh,Đất ở khu dân cư nông thôn (Xã Hiền Ninh),2500,5,270,10,1,2021-06-04 00:00:00,sóc sơn,sóc sơn_hiền ninh,148873,152186,152268,0.008143
87,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Đường Cổng Nùi,0,6,228,14.33,1,2021-06-18 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.048
89,Thành phố Hà Nội,Huyện Thanh Trì,Xã Tân Triều,Đường Yên Xá,80,12.5,99.5,5.18,1,2021-06-14 00:00:00,thanh trì,thanh trì_tân triều,148873,152474,195379,0.072875
92,Thành phố Hà Nội,Huyện Thường Tín,Xã Ninh Sở,đường liên xã,15,2.8,116,7,1,2021-06-03 00:00:00,thường tín,thường tín_ninh sở,148873,152587,152643,0.0105
93,Thành phố Hà Nội,Huyện Thường Tín,Xã Ninh Sở,đường liên xã,18,2.8,111,7,1,2021-06-03 00:00:00,thường tín,thường tín_ninh sở,148873,152587,152643,0.011874
94,Thành phố Hà Nội,Huyện Thường Tín,Xã Văn Tự,Quốc lộ 1A,500,2,154,12.5,2,2021-06-06 00:00:00,thường tín,thường tín_văn tự,148873,152587,152673,0.006186
97,Thành phố Hà Nội,Huyện Thường Tín,Xã Văn Tự,Quốc lộ 1A,70,5,315.1,7,1,2021-06-10 00:00:00,thường tín,thường tín_văn tự,148873,152587,152673,0.0165
103,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Đường Đồng Nương,68,4.5,103.6,6.18,1,2021-06-24 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.022
107,Thành phố Hà Nội,Huyện Thanh Oai,Xã Thanh Văn,Đường Vác - Thanh Văn: Đoạn giáp xã Tân Ước đến giáp tỉnh lộ 427.,130,2.8,342.8,17.83,1,2021-06-23 00:00:00,thanh oai,thanh oai_thanh văn,148873,152384,152460,0.011742
109,Thành phố Hà Nội,Huyện Thường Tín,Xã Ninh Sở,đường liên xã,270,4.3,793,4,1,2021-06-03 00:00:00,thường tín,thường tín_ninh sở,148873,152587,152643,0.003351
112,Thành phố Hà Nội,Huyện Thường Tín,Xã Văn Tự,Quốc lộ 1A,120,5,76,7.4,1,2021-06-14 00:00:00,thường tín,thường tín_văn tự,148873,152587,152673,0.0215
113,Thành phố Hà Nội,Huyện Thường Tín,Xã Văn Tự,Quốc lộ 1A,250,3,130,11,1,2021-06-14 00:00:00,thường tín,thường tín_văn tự,148873,152587,152673,0.011621
120,Thành phố Hà Nội,Huyện Quốc Oai,Xã Tân Phú,Đất ở khu dân cư nông thôn-Tân Phú,550,5,98.4,21.86,2,2021-06-16 00:00:00,quốc oai,quốc oai_tân phú,148873,152080,152161,0.025417
121,Thành phố Hà Nội,Huyện Quốc Oai,Xã Tân Phú,Yên Quán,400,3.2,105.8,5.92,1,2021-06-01 00:00:00,quốc oai,quốc oai_tân phú,148873,152080,152161,0.013682
122,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Tiên Dược,Quốc lộ 3,300,2.7,110,10,1,2021-06-03 00:00:00,sóc sơn,sóc sơn_tiên dược,148873,152186,152272,0.008293
123,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Phù Linh,Quốc lộ 3,200,4.5,110.2,4.68,1,2021-06-09 00:00:00,sóc sơn,sóc sơn_phù linh,148873,152186,152274,0.0143
124,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Phù Linh,Quốc lộ 3,15,5,74,11.34,1,2021-06-06 00:00:00,sóc sơn,sóc sơn_phù linh,148873,152186,152274,0.0177
125,Thành phố Hà Nội,Huyện Thạch Thất,Xã Dị Nậu,Đường liên thôn,0,7,172,14.1,2,2021-06-01 00:00:00,thạch thất,thạch thất_dị nậu,148873,152286,152349,0.037
126,Thành phố Hà Nội,Huyện Thạch Thất,Xã Dị Nậu,Đường liên thôn,0,5,110,5.6,1,2021-06-01 00:00:00,thạch thất,thạch thất_dị nậu,148873,152286,152349,0.025
127,Thành phố Hà Nội,Huyện Thạch Thất,Xã Phùng Xá,Đường Cổng Đình,96,4,100,5.18,1,2021-06-24 00:00:00,thạch thất,thạch thất_phùng xá,148873,152286,152359,0.025
128,Thành phố Hà Nội,Huyện Thanh Oai,Xã Mỹ Hưng,Đất ở khu dân cư nông thôn (Xã Mỹ Hưng),600,4,273,19,1,2021-06-14 00:00:00,thanh oai,thanh oai_mỹ hưng,148873,152384,152464,0.011044
142,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Trạch Mỹ Lộc,Đường liên thôn,0,4,364,17.12,4,2021-06-02 00:00:00,phúc thọ,phúc thọ_trạch mỹ lộc,148873,151998,152068,0.006
143,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Võng Xuyên,Đường liên thôn,0,3.5,121,9.6,1,2021-06-15 00:00:00,phúc thọ,phúc thọ_võng xuyên,148873,151998,152076,0.005
147,Thành phố Hà Nội,Huyện Thường Tín,Xã Hà Hồi,DT427,80,5.5,37.3,3.3,1,2021-06-18 00:00:00,thường tín,thường tín_hà hồi,148873,152587,152649,0.01687
148,Thành phố Hà Nội,Huyện Thường Tín,Xã Liên Phương,Cao tốc Pháp Vân,850,1.6,225,14,2,2021-06-03 00:00:00,thường tín,thường tín_liên phương,148873,152587,152651,0.00641
151,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Đường Tam Hiệp - Hiệp Thuận: Từ giáp trục làng nghề Tam Hiệp đến giáp xã Hiệp Thuận,330,3.4,73,6.03,1,2021-06-01 00:00:00,phúc thọ,phúc thọ_tam hiệp,148873,151998,152056,0.025
152,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Đường quốc lộ 32,280,7,160,9.4,2,2021-06-19 00:00:00,phúc thọ,phúc thọ_tam hiệp,148873,151998,152056,0.046743
154,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Đường Tam Hiệp - Hiệp Thuận: Từ giáp trục làng nghề Tam Hiệp đến giáp xã Hiệp Thuận,60,3.7,106,5,1,2021-06-04 00:00:00,phúc thọ,phúc thọ_tam hiệp,148873,151998,152056,0.043
155,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Đất ở khu dân cư nông thôn (Xã Tam Hiệp),500,4,300,2,1,2021-06-01 00:00:00,phúc thọ,phúc thọ_tam hiệp,148873,151998,152056,0.0048
158,Thành phố Hà Nội,Huyện Quốc Oai,Thị trấn Quốc Oai,Phố Huyện,0,8,111.3,6.5,1,2021-06-20 00:00:00,quốc oai,quốc oai_quốc oai,148873,152080,152081,0.065632
159,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Minh Trí,Đường liên huyện,0,8,302,11.5,2,2021-06-07 00:00:00,sóc sơn,sóc sơn_minh trí,148873,152186,152280,0.010038
161,Thành phố Hà Nội,Huyện Thạch Thất,Xã Dị Nậu,Đường liên thôn,0,5,80.5,6,1,2021-06-15 00:00:00,thạch thất,thạch thất_dị nậu,148873,152286,152349,0.025
162,Thành phố Hà Nội,Huyện Thạch Thất,Xã Dị Nậu,Đường liên thôn,0,4.3,87,5.5,1,2021-06-25 00:00:00,thạch thất,thạch thất_dị nậu,148873,152286,152349,0.035
163,Thành phố Hà Nội,Huyện Thạch Thất,Xã Dị Nậu,Đường liên thôn,30,3.1,189,11.79,1,2021-06-07 00:00:00,thạch thất,thạch thất_dị nậu,148873,152286,152349,0.013
164,Thành phố Hà Nội,Huyện Thạch Thất,Xã Dị Nậu,Đường liên thôn,0,9,82,5,1,2021-06-18 00:00:00,thạch thất,thạch thất_dị nậu,148873,152286,152349,0.035
165,Thành phố Hà Nội,Huyện Thạch Thất,Xã Dị Nậu,Đường liên thôn,0,5,90,5.5,1,2021-06-17 00:00:00,thạch thất,thạch thất_dị nậu,148873,152286,152349,0.027
166,Thành phố Hà Nội,Huyện Thạch Thất,Xã Dị Nậu,Đường liên thôn,20,2.4,370,14.7,2,2021-06-22 00:00:00,thạch thất,thạch thất_dị nậu,148873,152286,152349,0.00779
167,Thành phố Hà Nội,Huyện Thạch Thất,Xã Tân Xã,Đường liên xã,120,4,125,4,1,2021-06-18 00:00:00,thạch thất,thạch thất_tân,148873,152286,152367,0.017
170,Thành phố Hà Nội,Huyện Thanh Trì,Xã Ngũ Hiệp,Đường Mới Ngũ Hiệp,290,3.3,54,5.93,1,2021-06-24 00:00:00,thanh trì,thanh trì_ngũ hiệp,148873,152474,152553,0.038837
173,Thành phố Hà Nội,Huyện Thanh Trì,Xã Thanh Liệt,"Đường Thanh Liệt (đoạn từ ngã ba giao cắt đường Nghiêm Xuân Yêm tại trụ sở Trung tâm huấn luyện và thi đấu Bộ Công an, đến ngã ba giao cắt đường đi phường Kim Giang, khu đô thị Xa La)",0,25,80,6,1,2021-06-16 00:00:00,thanh trì,thanh trì_thanh liệt,148873,152474,195380,0.145
174,Thành phố Hà Nội,Huyện Thanh Trì,Xã Thanh Liệt,Thanh Liệt,80,2.7,30.6,3.69,1,2021-06-02 00:00:00,thanh trì,thanh trì_thanh liệt,148873,152474,195380,0.059993
175,Thành phố Hà Nội,Huyện Thường Tín,Xã Thắng Lợi,Quốc lộ 1A,200,4.2,171,9.6,1,2021-06-21 00:00:00,thường tín,thường tín_thắng lợi,148873,152587,152677,0.009355
176,Thành phố Hà Nội,Huyện Thường Tín,Xã Thắng Lợi,Quốc lộ 1A,300,2.2,60,6.2,1,2021-06-21 00:00:00,thường tín,thường tín_thắng lợi,148873,152587,152677,0.007006
177,Thành phố Hà Nội,Huyện Thường Tín,Xã Thắng Lợi,Cao tốc Pháp Vân,120,2.5,68,4,1,2021-06-25 00:00:00,thường tín,thường tín_thắng lợi,148873,152587,152677,0.014731
184,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Đất ở khu dân cư nông thôn (Xã Tam Hiệp),15,2.3,90,7.5,1,2021-06-11 00:00:00,phúc thọ,phúc thọ_tam hiệp,148873,151998,152056,0.027
185,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Đất ở khu dân cư nông thôn (Xã Tam Hiệp),0,7,77,4.15,1,2021-06-24 00:00:00,phúc thọ,phúc thọ_tam hiệp,148873,151998,152056,0.057223
189,Thành phố Hà Nội,Huyện Thạch Thất,Xã Dị Nậu,Đường liên xã,100,3.2,123,12.2,1,2021-06-02 00:00:00,thạch thất,thạch thất_dị nậu,148873,152286,152349,0.0155
191,Thành phố Hà Nội,Huyện Thạch Thất,Xã Bình Phú,Đường 419,0,10,82,4.1,2,2021-06-03 00:00:00,thạch thất,thạch thất_bình phú,148873,152286,152351,0.0696
192,Thành phố Hà Nội,Huyện Thạch Thất,Xã Bình Phú,Đường Thái Hòa,50,4.6,91,4,1,2021-06-02 00:00:00,thạch thất,thạch thất_bình phú,148873,152286,152351,0.0273
193,Thành phố Hà Nội,Huyện Thanh Trì,Xã Thanh Liệt,Kim Giang,0,8,90,4.15,1,2021-06-02 00:00:00,thanh trì,thanh trì_thanh liệt,148873,152474,195380,0.130039
194,Thành phố Hà Nội,Huyện Thanh Trì,Xã Thanh Liệt,Kim Giang,200,2,50,4.9,1,2021-06-01 00:00:00,thanh trì,thanh trì_thanh liệt,148873,152474,195380,0.051459
197,Thành phố Hà Nội,Huyện Thường Tín,Xã Khánh Hà,Đường liên xã Khánh Hà- Đại Áng,500,3.7,395.7,13.44,1,2021-06-25 00:00:00,thường tín,thường tín_khánh hà,148873,152587,152679,0.00961
198,Thành phố Hà Nội,Huyện Thường Tín,Xã Khánh Hà,Đường liên xã Khánh Hà- Đại Áng,2000,2.1,89,6,3,2021-06-25 00:00:00,thường tín,thường tín_khánh hà,148873,152587,152679,0.01
200,Thành phố Hà Nội,Huyện Thường Tín,Xã Khánh Hà,Đất ở khu dân cư nông thôn (Xã Khánh Hà),2000,5,146,9,1,2021-05-31 00:00:00,thường tín,thường tín_khánh hà,148873,152587,152679,0.017337
211,Thành phố Hà Nội,Huyện Thanh Trì,Xã Thanh Liệt,"Đường Phan Trọng Tuệ (đoạn qua xã Tam Hiệp, Thanh Liệt, Tả Thanh Oai)",290,2.1,63.6,4,1,2021-06-22 00:00:00,thanh trì,thanh trì_thanh liệt,148873,152474,195380,0.049088
220,Thành phố Hà Nội,Huyện Thường Tín,Xã Khánh Hà,đường liên xã,480,2.3,260,12.3,2,2021-06-22 00:00:00,thường tín,thường tín_khánh hà,148873,152587,152679,0.009698
222,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Đường liên thôn,50,2.8,312,18.5,1,2021-06-23 00:00:00,phúc thọ,phúc thọ_tam hiệp,148873,151998,152056,0.01652
223,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Đường liên thôn,60,1.6,100,10.3,1,2021-06-23 00:00:00,phúc thọ,phúc thọ_tam hiệp,148873,151998,152056,0.008608
225,Thành phố Hà Nội,Huyện Sóc Sơn,Xã Phú Cường,Quốc lộ 2A,1000,2,143.5,6.2,1,2021-06-09 00:00:00,sóc sơn,sóc sơn_phú cường,148873,152186,152240,0.0075
226,Thành phố Hà Nội,Huyện Thạch Thất,Xã Lại Thượng,Đường liên thôn,0,3.5,629,25.78,3,2021-06-13 00:00:00,thạch thất,thạch thất_lại thượng,148873,152286,152375,0.006
227,Thành phố Hà Nội,Huyện Thạch Thất,Xã Lại Thượng,Đường liên thôn,50,3.6,225,18,2,2021-06-17 00:00:00,thạch thất,thạch thất_lại thượng,148873,152286,152375,0.00482
228,Thành phố Hà Nội,Huyện Thạch Thất,Xã Lại Thượng,Đường liên xã,0,6,126,6,1,2021-06-08 00:00:00,thạch thất,thạch thất_lại thượng,148873,152286,152375,0.0135
229,Thành phố Hà Nội,Huyện Thanh Trì,Xã Tả Thanh Oai,"Đường Cầu Bươu (đoạn qua xã Thanh Liệt, Tân Triều, Tả Thanh Oai)",250,1.8,30,3.6,2,2021-05-30 00:00:00,thanh trì,thanh trì_tả thanh oai,148873,152474,195381,0.047663
235,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Đường liên thôn,280,3,204,14.5,1,2021-06-24 00:00:00,phúc thọ,phúc thọ_tam hiệp,148873,151998,152056,0.01826
236,Thành phố Hà Nội,Huyện Quốc Oai,Xã Đồng Quang,Tỉnh lộ 419,930,2.3,270.2,22.74,2,2021-06-04 00:00:00,quốc oai,quốc oai_đồng quang,148873,152080,195431,0.006514
240,Thành phố Hà Nội,Huyện Thạch Thất,Xã Canh Nậu,Đường liên thôn,290,2.2,112,8,1,2021-06-21 00:00:00,thạch thất,thạch thất_canh nậu,148873,152286,152353,0.008
241,Thành phố Hà Nội,Huyện Thạch Thất,Xã Canh Nậu,Đường liên thôn,40,2.1,98,12.5,1,2021-06-17 00:00:00,thạch thất,thạch thất_canh nậu,148873,152286,152353,0.0103
245,Thành phố Hà Nội,Huyện Thanh Trì,Xã Vĩnh Quỳnh,Quốc lộ 1A,250,6.5,33.7,3.45,3,2021-06-12 00:00:00,thanh trì,thanh trì_vĩnh quỳnh,148873,152474,152557,0.046644
246,Thành phố Hà Nội,Huyện Thường Tín,Xã Tiền Phong,Đất ở khu dân cư nông thôn (Xã Tiền Phong),250,3.3,171,7.04,1,2021-06-08 00:00:00,thường tín,thường tín_tiền phong,148873,152587,152655,0.017577
248,Thành phố Hà Nội,Huyện Thường Tín,Xã Tiền Phong,DT427B,1300,5,173,9.94,1,2021-06-01 00:00:00,thường tín,thường tín_tiền phong,148873,152587,152655,0.046263
249,Thành phố Hà Nội,Huyện Thường Tín,Xã Tiền Phong,DT427B,1700,2.3,220,3.9,2,2021-06-01 00:00:00,thường tín,thường tín_tiền phong,148873,152587,152655,0.009531
250,Thành phố Hà Nội,Huyện Thường Tín,Xã Thống Nhất,Cao tốc Pháp Vân,700,3.5,132.2,7.11,1,2021-06-10 00:00:00,thường tín,thường tín_thống nhất,148873,152587,152685,0.009811
251,Thành phố Hà Nội,Huyện Thường Tín,Xã Thống Nhất,Cao tốc Pháp Vân,600,3.2,87,16.32,3,2021-06-17 00:00:00,thường tín,thường tín_thống nhất,148873,152587,152685,0.008
257,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Tam Hiệp,100,2.3,120,6.18,1,2021-06-10 00:00:00,phúc thọ,phúc thọ_tam hiệp,148873,151998,152056,0.025659
258,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Tam Hiệp,450,3,100,6.1,1,2021-06-25 00:00:00,phúc thọ,phúc thọ_tam hiệp,148873,151998,152056,0.01056
259,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Đường trục làng nghề Tam Hiệp: Từ giáp Quốc lộ 32 đến giáp đình Thượng Hiệp,210,2.5,117,8.75,1,2021-06-16 00:00:00,phúc thọ,phúc thọ_tam hiệp,148873,151998,152056,0.019
260,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Đường trục làng nghề Tam Hiệp: Từ giáp Quốc lộ 32 đến giáp đình Thượng Hiệp,160,3,113.6,7.73,1,2021-06-15 00:00:00,phúc thọ,phúc thọ_tam hiệp,148873,151998,152056,0.023
261,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Đường trục làng nghề Tam Hiệp: Từ giáp Quốc lộ 32 đến giáp đình Thượng Hiệp,0,6,75,5,1,2021-06-07 00:00:00,phúc thọ,phúc thọ_tam hiệp,148873,151998,152056,0.095
262,Thành phố Hà Nội,Huyện Phúc Thọ,Xã Tam Hiệp,Đường chân đê,60,3.8,70,5.5,1,2021-06-11 00:00:00,phúc thọ,phúc thọ_tam hiệp,148873,151998,152056,0.031401
267,Thành phố Hà Nội,Huyện Thạch Thất,Xã Canh Nậu,Đường liên thôn,0,4,231,15.3,1,2021-06-05 00:00:00,thạch thất,thạch thất_canh nậu,148873,152286,152353,0.022
268,Thành phố Hà Nội,Huyện Thạch Thất,Xã Canh Nậu,Đường liên thôn,50,4,139,10.5,1,2021-06-15 00:00:00,thạch thất,thạch thất_canh nậu,148873,152286,152353,0.0157
